Department Name,Course Code,Course Title,Type,Prerequisites,Theoritical,Practical,Course Credits,ECTS
Political Science and International Relations Department (in Turkish),STV 207,Introduction to Cinematography and Lighting,Fakülte/Genel Seçmeli,,2,2,3,5
Political Science and International Relations Department (in Turkish),STV 208,Editing,Fakülte/Genel Seçmeli,,2,1,3,5
Political Science and International Relations Department (in Turkish),STV 209,Media and Cultural Identity,Fakülte/Genel Seçmeli,,3,0,3,5
Political Science and International Relations Department (in Turkish),STV 210,İleri Fotoğrafçılık,Fakülte/Genel Seçmeli,,2,2,3,5
Political Science and International Relations Department (in Turkish),STV 211,Silent Cinema,Fakülte/Genel Seçmeli,,3,0,3,5
Political Science and International Relations Department (in Turkish),STV 212,Auteur Cinema,Fakülte/Genel Seçmeli,,3,0,3,5
Political Science and International Relations Department (in Turkish),STV 213,Photography Practices,Fakülte/Genel Seçmeli,,3,0,3,5
Political Science and International Relations Department (in Turkish),STV 217,Reklamcılık,Fakülte/Genel Seçmeli,,3,0,3,5
Political Science and International Relations Department (in Turkish),STV 301,Television Programming,Fakülte/Genel Seçmeli,,2,2,3,10
Political Science and International Relations Department (in Turkish),STV 302,Turkish Cinema,Fakülte/Genel Seçmeli,,3,0,3,5
Political Science and International Relations Department (in Turkish),STV 303,Film Theories,Fakülte/Genel Seçmeli,,3,0,3,5
Political Science and International Relations Department (in Turkish),STV 304,Film Making,Fakülte/Genel Seçmeli,,2,2,3,10
Political Science and International Relations Department (in Turkish),STV 307,Short Film Making,Fakülte/Genel Seçmeli,,3,0,3,5
Political Science and International Relations Department (in Turkish),STV 308,Experimental Film and Video,Fakülte/Genel Seçmeli,,3,0,3,5
Political Science and International Relations Department (in Turkish),STV 309,Popular Culture and Media,Fakülte/Genel Seçmeli,,3,0,3,5
Political Science and International Relations Department (in Turkish),STV 310,Türk Medya Tarihi,Fakülte/Genel Seçmeli,,3,0,3,5
Political Science and International Relations Department (in Turkish),STV 311,Dijital Medya Ve Kültür,Fakülte/Genel Seçmeli,,3,0,3,5
Political Science and International Relations Department (in Turkish),STV 312,Film Yapım Uygulamaları,Fakülte/Genel Seçmeli,,3,0,3,5
Political Science and International Relations Department (in Turkish),STV 314,Sound and Music Design for Cinema,Fakülte/Genel Seçmeli,,1,2,3,5
Political Science and International Relations Department (in Turkish),STV 347,Advanced Screenwriting,Fakülte/Genel Seçmeli,STV 202,1,2,3,5
Political Science and International Relations Department (in Turkish),STV 401,Mezuniyet Projesi,Fakülte/Genel Seçmeli,,3,2,4,10
Political Science and International Relations Department (in Turkish),STV 402,Mezuniyet Projesi Yapımı,Fakülte/Genel Seçmeli,,3,2,4,15
Political Science and International Relations Department (in Turkish),STV 403,Belgesel Yapımı,Fakülte/Genel Seçmeli,,2,2,3,10
Political Science and International Relations Department (in Turkish),STV 404,Dünya Sineması,Fakülte/Genel Seçmeli,,3,0,3,5
Political Science and International Relations Department (in Turkish),STV 405,Film Türleri,Fakülte/Genel Seçmeli,,3,0,3,5
Political Science and International Relations Department (in Turkish),STV 406,Radyo Programcılığı,Fakülte/Genel Seçmeli,,2,2,3,5
Political Science and International Relations Department (in Turkish),STV 407,Tv Program Türleri,Fakülte/Genel Seçmeli,,3,0,3,5
Political Science and International Relations Department (in Turkish),STV 408,Spor Yayıncılığı,Fakülte/Genel Seçmeli,,3,0,3,5
Political Science and International Relations Department (in Turkish),STV 409,Televizyon Haberciliği,Fakülte/Genel Seçmeli,,3,0,3,5
Political Science and International Relations Department (in Turkish),STV 410,Görüntü Yönetmenliği,Fakülte/Genel Seçmeli,,2,2,3,5
Political Science and International Relations Department (in Turkish),STV 411,Yeni Medya Çalışmaları,Fakülte/Genel Seçmeli,,3,0,3,5
Political Science and International Relations Department (in Turkish),STV 412,İletişim Teknolojileri,Fakülte/Genel Seçmeli,,2,2,3,5
Political Science and International Relations Department (in Turkish),STV 413,Sinema Ve Televizyon Semineri,Fakülte/Genel Seçmeli,,3,0,3,5
Political Science and International Relations Department (in Turkish),STV 414,Sinema Ve Televizyon Atölyesi,Fakülte/Genel Seçmeli,,3,0,3,5
Political Science and International Relations Department (in Turkish),YBS 200,Staj I,Fakülte/Genel Seçmeli,,0,0,0,5
Political Science and International Relations Department (in Turkish),YBS 202,Management Information Systems,Fakülte/Genel Seçmeli,,3,0,3,5
Political Science and International Relations Department (in Turkish),YBS 300,Staj II,Fakülte/Genel Seçmeli,,0,0,0,5
Political Science and International Relations Department (in Turkish),YBS 302,Database Management Systems,Fakülte/Genel Seçmeli,,3,0,3,5
Political Science and International Relations Department (in Turkish),YBS 303,E-Business Technologies and Management,Fakülte/Genel Seçmeli,,3,0,3,5
Political Science and International Relations Department (in Turkish),YBS 304,Business Analytics and Data Mining - I,Fakülte/Genel Seçmeli,,3,0,3,5
Political Science and International Relations Department (in Turkish),YBS 305,Business Analytics and Data Mining - II,Fakülte/Genel Seçmeli,YBS 304,3,2,4,7
Political Science and International Relations Department (in Turkish),YBS 401,Ağ Yönetimi ve Bilgi Güvenliği,Fakülte/Genel Seçmeli,,3,0,3,5
Political Science and International Relations Department (in Turkish),YBS 402,İşletim Sistemleri,Fakülte/Genel Seçmeli,,3,0,3,5
Political Science and International Relations Department (in Turkish),YBS 403,Big Data,Fakülte/Genel Seçmeli,,3,0,3,7
Political Science and International Relations Department (in Turkish),YBS 404,Sosyal Şebeke Analizi,Fakülte/Genel Seçmeli,,3,0,3,5
Political Science and International Relations Department (in Turkish),YBS 405,Kurumsal Kaynak Planlama,Fakülte/Genel Seçmeli,,3,0,3,5
Political Science and International Relations Department (in Turkish),YBS 406,Web Programming,Fakülte/Genel Seçmeli,,3,0,3,6
Political Science and International Relations Department (in Turkish),YBS 412,Business Simulation,Fakülte/Genel Seçmeli,,3,0,3,5
Political Science and International Relations Department (in Turkish),YBS 422,Yönetsel Karar Alma,Fakülte/Genel Seçmeli,,3,0,3,5
Political Science and International Relations Department (in Turkish),YBS 453,İş Zekası ve Pazarlama Analizi,Fakülte/Genel Seçmeli,,3,0,3,5
Political Science and International Relations Department (in Turkish),HIL 220,Advertising Analysis,Fakülte/Genel Seçmeli,,3,0,3,5
Political Science and International Relations Department (in Turkish),HIL 225,Social Advertising and Visual Applications,Fakülte/Genel Seçmeli,,2,2,3,5
Political Science and International Relations Department (in Turkish),HIL 321,Sectoral dynamics in Communication,Fakülte/Genel Seçmeli,,0,0,3,5
Political Science and International Relations Department (in Turkish),HIL 323,Global Marketing,Fakülte/Genel Seçmeli,,3,0,3,5
Political Science and International Relations Department (in Turkish),HIL 421,Media and intellectual Property Rights,Fakülte/Genel Seçmeli,,3,0,3,5
Political Science and International Relations Department (in Turkish),ILT 220,Visual Design,Fakülte/Genel Seçmeli,,3,0,3,5
Political Science and International Relations Department (in Turkish),IMIM 106,İç Mimarlık ve Çevre Tasarımına Giriş,Fakülte/Genel Seçmeli,,3,0,3,5
Political Science and International Relations Department (in Turkish),ISS 280,Introduction to Islamic Studies,Fakülte/Genel Seçmeli,,3,0,3,5
Political Science and International Relations Department (in Turkish),MIM 106,Introduction to Architecture I,Fakülte/Genel Seçmeli,,3,0,3,5
Political Science and International Relations Department (in Turkish),PSI 371,Selected Topics in Psychology: Creative Drama and Experiental Leraning,Fakülte/Genel Seçmeli,At Least Success 56 crh,3,0,3,6
Political Science and International Relations Department (in Turkish),PSI 377,Group Dynamics,Fakülte/Genel Seçmeli,At Least Success 56 crh,3,0,3,6
Political Science and International Relations Department (in Turkish),PSI 453,Counseling Psychology,Fakülte/Genel Seçmeli,At Least Success 68 Crh.,3,0,3,6
Political Science and International Relations Department (in Turkish),PSI 454,Cognitive Neuroscience,Fakülte/Genel Seçmeli,At Least Success 68 Crh.,3,0,3,6
Political Science and International Relations Department (in Turkish),RUS 202,Russian IV,Fakülte/Genel Seçmeli,,0,0,3,5
Political Science and International Relations Department (in Turkish),YBS 307,FinTech,Fakülte/Genel Seçmeli,,3,0,3,5
Political Science and International Relations Department (in Turkish),YBS 409,Selected Topics in Marketing Management,Fakülte/Genel Seçmeli,,3,0,3,5
Political Science and International Relations Department (in Turkish),YBS 414,Programming Practice with Java,Fakülte/Genel Seçmeli,,3,0,3,5
Political Science and International Relations Department (in Turkish),YBS 415,Game Theory for Managers,Fakülte/Genel Seçmeli,,3,0,3,5
Political Science and International Relations Department (in Turkish),YBS 427,Coaching and Guidance in Business,Fakülte/Genel Seçmeli,,3,0,3,5
Political Science and International Relations Department (in Turkish),YBS 428,Katılım Sigortacılığı,Fakülte/Genel Seçmeli,,3,0,3,5
Political Science and International Relations Department (in Turkish),YBS 438,Global Management and Leadership Thought,Fakülte/Genel Seçmeli,,3,0,3,5
Political Science and International Relations Department (in Turkish),YBS 446,CO-OP: Cooperative Learning I,Fakülte/Genel Seçmeli,,3,0,3,5
Political Science and International Relations Department (in Turkish),YBS 449,Sustainability and Governance,Fakülte/Genel Seçmeli,,3,0,3,5
Political Science and International Relations Department (in English),ARAB 101,Arabic I,College/Genaral Elective,,3,0,3,5
Political Science and International Relations Department (in English),ARAB 102,Arabic II,College/Genaral Elective,,3,0,3,5
Political Science and International Relations Department (in English),ARAB 201,Arabic III,College/Genaral Elective,,3,0,3,5
Political Science and International Relations Department (in English),ARAB 202,Arabic IV,College/Genaral Elective,,3,0,3,5
Political Science and International Relations Department (in English),ARM 101,Armenian,College/Genaral Elective,,3,0,3,5
Political Science and International Relations Department (in English),CHI 101,Chinese I,College/Genaral Elective,,3,0,3,5
Political Science and International Relations Department (in English),CHI 102,Chinese II,College/Genaral Elective,,0,0,3,5
Political Science and International Relations Department (in English),CS 200,Summer Practice,College/Genaral Elective,,0,0,0,5
Political Science and International Relations Department (in English),CS 201,Data Structures and Algorithms,College/Genaral Elective,"ENGR 101, MATH 104",3,0,3,5
Political Science and International Relations Department (in English),CS 202,Advanced Algorithms,College/Genaral Elective,CS 201,3,0,3,5
Political Science and International Relations Department (in English),CS 240,Exploratory Data Analysis,College/Genaral Elective,"Pre-requisite (ENGR 100 or CS 100), ENGR 251, ENGR 105",3,0,3,4
Political Science and International Relations Department (in English),CS 300,Summer Practice,College/Genaral Elective,,0,0,0,5
Political Science and International Relations Department (in English),CS 351,Computer Architecture,College/Genaral Elective,EECS 218,3,0,3,5
Political Science and International Relations Department (in English),CS 352,Operating Systems,College/Genaral Elective,ENGR 102,3,0,3,5
Political Science and International Relations Department (in English),CS 361,Software,College/Genaral Elective,ENGR 102,3,0,3,5
Political Science and International Relations Department (in English),CS 364,Computer Networks,College/Genaral Elective,,3,0,3,5
Political Science and International Relations Department (in English),CS 381,Object Oriented Programming,College/Genaral Elective,ENGR 102,3,0,3,5
Political Science and International Relations Department (in English),CTV 201,Basic Photography,College/Genaral Elective,,2,2,3,5
Political Science and International Relations Department (in English),CTV 202,Advanced Photography,College/Genaral Elective,,2,2,3,5
Political Science and International Relations Department (in English),CTV 203,Art of Storytelling,College/Genaral Elective,,3,0,3,5
Political Science and International Relations Department (in English),CTV 204,Screenwriting,College/Genaral Elective,,3,0,3,5
Political Science and International Relations Department (in English),CTV 205,Key Concepts in Moving Image Studies,College/Genaral Elective,,3,0,3,5
Political Science and International Relations Department (in English),CTV 206,History of Cinema,College/Genaral Elective,,3,0,3,5
Political Science and International Relations Department (in English),CTV 207,Introduction to Media and Communication Studies,College/Genaral Elective,,3,0,3,5
Political Science and International Relations Department (in English),CTV 208,Sociology of Media,College/Genaral Elective,,3,0,3,5
Political Science and International Relations Department (in English),CTV 211,Introduction to Cinematography and Lighting,College/Genaral Elective,,2,2,3,5
Political Science and International Relations Department (in English),CTV 212,Editing,College/Genaral Elective,,2,1,3,5
Political Science and International Relations Department (in English),CTV 214,Film Sound,College/Genaral Elective,,2,1,3,5
Political Science and International Relations Department (in English),CTV 253,Business Communication,College/Genaral Elective,,3,0,3,5
Political Science and International Relations Department (in English),CTV 303,Film Theory and Aesthetics,College/Genaral Elective,,3,0,3,5
Political Science and International Relations Department (in English),CTV 305,Television Studies,College/Genaral Elective,,2,2,3,5
